"ID","FloorPlan","ShipToType","SerialTypeCode","ReceiveToLocation","ReceiveToLocationCode","DateEffective","Unreleased","DateCreated","UserCreated","Authorized","DateAuthorized","UserAuthorized","Received","DateConfirmedReceived","UserReceived","Paid","DatePaid","UserPaid","EDISentDate","EDISentTime","RequestedDeliveryDate","AllowBOInvoice","Buyer","Code","Confirmed","CostFactor","DateConfirmed","DateCosted","DateFinished","DateOrdered","DateReceived","DateStarted","FloorPlanDays","ShipToAddress1","ShipToAddress2","ShipToCity","ShipToCode","ShipToName","ShipToNotes","ShipToPhone1","ShipToPhone2","ShipToState","ShipToZipCode","SupplierAccountNumber","SupplierAddress1","SupplierAddress2","SupplierCity","SupplierCode","SupplierContact1","SupplierContact2","SupplierCustomerServicePhone","SupplierDescription","SupplierEmail","SupplierFax","SupplierPONotes","SupplierPhone1","SupplierPhone2","SupplierShipVia","SupplierState","SupplierWebsite","SupplierZipCode","TotalCosted","TotalOrdered","TotalReceived","UserConfirmed"
"43777","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","AMW","","","","","","","","","","","","2026-10-09 00:00:00","True","Andrew Walsh","39378","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","949928 Contract","P.O. BOX 8502","","BENTON HARBOR","WP001","","","","WHIRLPOOL CORPORATION","","(214) 550-5613","","(800) 321-7613","","","MI","https://secure5.whirlpool.com/home.jsp","49022","0.0000","7860.0000","0.0000",""
"43778","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","AMW","","","","","","","","","","","","2026-09-18 00:00:00","True","Andrew Walsh","39379","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","81 z6j71","","","LOUISVILLE","GEC","","","","GE APPLIANCES","","(800) 723-1585","","(800) 967-2334","","","KY","","","0.0000","1839.0000","0.0000",""
"43779","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","AMW","","","","","","","","","","","","2026-09-25 00:00:00","True","Andrew Walsh","39380","","1.0000","","","","2026-09-21 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","791472T","PO BOX 24302","","NEW YORK","ALMO","","","","ALMO CORPORATION","socentral@almo.com  order email","(215) 698-4070","","(888) 893-5816","","","NY","www.access.almo.com","10087","0.0000","10624.0000","0.0000",""
"43780","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","AMW","","","","","","","","","","","","2026-09-23 00:00:00","True","Andrew Walsh","39381","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","","1901 MAIN STREET","","IRVINE","BSH","","","","BSH HOME APPLIANCES","mbx-irv-order@bshg.com","","","(949) 440-7100","(800) 613-7333","","CA","www.boschappliances.com","92614","0.0000","1597.0000","0.0000",""
"43781","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","AMW","","","","","","","","","","","","2026-09-25 00:00:00","True","Andrew Walsh","39382","","1.0000","","","","2026-09-21 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","791472T","PO BOX 24302","","NEW YORK","ALMO","","","","ALMO CORPORATION","socentral@almo.com  order email","(215) 698-4070","","(888) 893-5816","","","NY","www.access.almo.com","10087","0.0000","8658.0000","0.0000",""
"43782","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","AMW","","","","","","","","","","","","2026-09-25 00:00:00","True","Andrew Walsh","39383","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","","PO BOX 730241","","DALLAS","LGEUS","","","","LG ELECTRONICS USA INC","","","","","","","TX","","75373-0241","0.0000","2285.0000","0.0000",""
"43783","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","AMW","","","","","","","","","","","","2026-09-25 00:00:00","True","Andrew Walsh","39384","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","","PO BOX 730241","","DALLAS","LGEUS","","","","LG ELECTRONICS USA INC","","","","","","","TX","","75373-0241","0.0000","3558.0000","0.0000",""
"43784","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","AMW","","","","","","","","","","","","2026-09-25 00:00:00","True","Andrew Walsh","39385","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","WIL028","PO BOX 734806","","CHICAGO","MIDDLEBY","(888) 845-4641","","","MIDDLEBY CORPORATION","middlebyadvantage@middleby.com","(888) 845-4641","","(888) 845-4641","","","IL","http://vikingrange.middlebyadvantage.com/clients/custompage.aspx?page=/viking/index.html","60673","0.0000","11742.5000","0.0000",""
"43785","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","AMW","","","","","","","","","","","","2026-10-02 00:00:00","True","Andrew Walsh","39386","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","WIL028","PO BOX 734806","","CHICAGO","MIDDLEBY","(888) 845-4641","","","MIDDLEBY CORPORATION","middlebyadvantage@middleby.com","(888) 845-4641","","(888) 845-4641","","","IL","http://vikingrange.middlebyadvantage.com/clients/custompage.aspx?page=/viking/index.html","60673","0.0000","8067.5000","0.0000",""
"43786","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","AMW","","","","","","","","","","","","2026-09-25 00:00:00","True","Andrew Walsh","39387","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","81 z6j71","","","LOUISVILLE","GEC","","","","GE APPLIANCES","","(800) 723-1585","","(800) 967-2334","","","KY","","","0.0000","4294.0000","0.0000",""
"43769","","Supplier","ALL","False","","","False","2026-09-17 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39371","","1.0000","","2026-09-18 00:00:00","2026-09-18 00:00:00","2026-09-17 00:00:00","2026-09-18 00:00:00","2026-09-17 00:00:00","0","","","","","","","","","","","055699","13100 W. 43RD DRIVE","","GOLDEN","AMERICAN","","AR- Brandy 303.633.5518","","GREAT PLAINS APPLIANCE PARTS","sbaca@americanappliance.biz","(303) 633-5503","","(800) 678-6788","(303) 633-5500","","CO","https://www.greatplainsapplianceparts.com","80403","1339.9200","1339.9200","1339.9200",""
"43770","","Supplier","ALL","False","","","False","2026-09-17 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39372","","1.0000","","","","2026-09-17 00:00:00","","2026-09-17 00:00:00","0","","","","","","","","","","","95466","PO BOX 88177","","MILWAUKEE","MARCONE","","","","MARCONE APPLIANCE PARTS CO","","","","(800) 482-6022","","","WI","http://www.marcone.com/","53288-8177","0.0000","957.0100","0.0000",""
"43771","","Supplier","ALL","False","","","False","2026-09-17 00:00:00","AMW","","","","","","","","","","","","2026-11-13 00:00:00","True","Andrew Walsh","X146","ALLIANCE DIRECT TL","1.0000","2026-09-17 00:00:00","","","2026-09-17 00:00:00","","2026-09-17 00:00:00","0","","","","","","","","","","","786202","3885 ELMORE AVE","SUITE 100","DAVENPORT","OROURKE","Mike Funk 713-805-1110","Jamie Paul 469-645-1778","","O'ROURKE SALE COMPANY","jpaul@orourkesales.com  order email","","","(210) 333-1311","(563) 823-3505- A/P","","IA","","52807","0.0000","141235.0000","0.0000","AMW"
"43757","","Supplier","ALL","False","","","False","2026-09-16 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39361","","1.0000","","2026-09-18 00:00:00","2026-09-18 00:00:00","2026-09-16 00:00:00","2026-09-18 00:00:00","2026-09-16 00:00:00","0","","","","","","","","","","","95466","PO BOX 88177","","MILWAUKEE","MARCONE","","","","MARCONE APPLIANCE PARTS CO","","","","(800) 482-6022","","","WI","http://www.marcone.com/","53288-8177","527.1300","527.1300","527.1300",""
"43758","","Supplier","ALL","False","","","False","2026-09-16 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39362","","1.0000","","2026-09-17 00:00:00","2026-09-17 00:00:00","2026-09-16 00:00:00","2026-09-17 00:00:00","2026-09-16 00:00:00","0","","","","","","","","","","","055699","13100 W. 43RD DRIVE","","GOLDEN","AMERICAN","","AR- Brandy 303.633.5518","","GREAT PLAINS APPLIANCE PARTS","sbaca@americanappliance.biz","(303) 633-5503","","(800) 678-6788","(303) 633-5500","","CO","https://www.greatplainsapplianceparts.com","80403","195.7300","195.7300","195.7300",""
"43759","","Supplier","ALL","False","","","False","2026-09-16 00:00:00","JKO","","","","","","","","","","","","","True","Jack Ort","E164","","1.0000","","","","2026-09-16 00:00:00","2026-09-16 00:00:00","2026-09-16 00:00:00","0","","","","","","","","","","","949928 Contract","P.O. BOX 8502","","BENTON HARBOR","WP001","","","","WHIRLPOOL CORPORATION","","(214) 550-5613","","(800) 321-7613","","","MI","https://secure5.whirlpool.com/home.jsp","49022","0.0000","0.0000","0.0100",""
"43760","","Supplier","ALL","False","","","False","2026-09-16 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39363","","1.0000","","","","2026-09-16 00:00:00","","2026-09-16 00:00:00","0","","","","","","","","","","","X5128940907","9 INDEPENDENCE WAY","","PRINCETON","MIELE PART","","","","MIELE INC.","","(609) 419-4298","","(800) 843-7231","","","NJ","","08540","0.0000","291.0000","0.0000",""
"43761","","Supplier","ALL","False","","","False","2026-09-16 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39364","","1.0000","","2026-09-18 00:00:00","2026-09-18 00:00:00","2026-09-16 00:00:00","2026-09-18 00:00:00","2026-09-16 00:00:00","0","","","","","","","","","","","WIL028","PO BOX 734806","","CHICAGO","MIDDLEBY","(888) 845-4641","","","MIDDLEBY CORPORATION","middlebyadvantage@middleby.com","(888) 845-4641","","(888) 845-4641","","","IL","http://vikingrange.middlebyadvantage.com/clients/custompage.aspx?page=/viking/index.html","60673","482.4500","482.4500","482.4500",""
"43762","","Supplier","ALL","False","","","False","2026-09-16 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39365","","1.0000","","","","2026-09-16 00:00:00","","2026-09-16 00:00:00","0","","","","","","","","","","","","P.O. Box 8387","","CAROL STREAM","ENCOMPASS","","","","ENCOMPASS","","","","","","","IL","","60197","0.0000","24.8800","0.0000",""
"43763","","Supplier","ALL","False","","","False","2026-09-16 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39366","","1.0000","","","","2026-09-16 00:00:00","","2026-09-16 00:00:00","0","","","","","","","","","","","86577305","GE/RCA CONSUMER SERVICE","PO BOX 733572","DALLAS","GE PARTS","","","","GENERAL ELECTRIC COMPANY","graham.ramsey@geappliances.com","(866) 765-3592","","(888) 440-3405","1.866.557.7586","","TX","","75373-3572","0.0000","8.9200","0.0000",""
"43764","","Supplier","ALL","False","","","False","2026-09-16 00:00:00","AMW","","","","","","","","","","","","2026-11-13 00:00:00","True","Andrew Walsh","39367","","1.0000","","","","","","2026-09-16 00:00:00","0","","","","","","","","","","","786202","3885 ELMORE AVE","SUITE 100","DAVENPORT","OROURKE","Mike Funk 713-805-1110","Jamie Paul 469-645-1778","","O'ROURKE SALE COMPANY","jpaul@orourkesales.com  order email","","","(210) 333-1311","(563) 823-3505- A/P","","IA","","52807","0.0000","0.0000","0.0000",""
"43765","","Supplier","ALL","False","","","False","2026-09-16 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39368","","1.0000","","2026-09-17 00:00:00","2026-09-17 00:00:00","2026-09-16 00:00:00","2026-09-17 00:00:00","2026-09-16 00:00:00","0","","","","","","","","","","","010051","PO BOX 566268","","DALLAS","APD","","","","RELIABLE PARTS","","(214) 634-7929","","(214) 631-4298","(800) 841-4060","","TX","www.apdepot.com","75356","157.5000","157.5000","157.5000",""
"43766","","Supplier","ALL","False","","","False","2026-09-16 00:00:00","CBS","","","","","","","","","","","","","True","Chris Shanahan","39369","","1.0000","","","","","","2026-09-16 00:00:00","0","","","","","","","","","","","2024420","20 West Market St","PO BOX 1267","York","WOLF","","","","Wolf Cabinets","","","Higgerson Mod MD00010107-1","","","","PA","","17401","0.0000","0.0000","0.0000",""
"43767","","Supplier","ALL","False","","","False","2026-09-16 00:00:00","AMW","","","","","","","","","","","","2026-09-23 00:00:00","True","Andrew Walsh","39370","","1.0000","","","","","","2026-09-16 00:00:00","0","","","","","","","","","","","","PO BOX 730241","","DALLAS","LGEUS","","","","LG ELECTRONICS USA INC","","","","","","","TX","","75373-0241","0.0000","0.0000","0.0000",""
"43768","","Supplier","ALL","False","","","False","2026-09-16 00:00:00","AMW","","","","","","","","","","","","2026-09-16 00:00:00","True","Andrew Walsh","X145","","1.0000","","","","","","2026-09-16 00:00:00","0","","","","","","","","","","","786202","3885 ELMORE AVE","SUITE 100","DAVENPORT","OROURKE","Mike Funk 713-805-1110","Jamie Paul 469-645-1778","","O'ROURKE SALE COMPANY","jpaul@orourkesales.com  order email","","","(210) 333-1311","(563) 823-3505- A/P","","IA","","52807","0.0000","0.0000","0.0000",""
"43739","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39343","","1.0000","","","","2026-09-15 00:00:00","","2026-09-15 00:00:00","0","","","","","","","","","","","4022263","PO BOX 845053","","DALLAS","TRANE PART","FELICIA - ACCNT MNGER","","","TRANE PARTS","joey.rodriquez@trane.com","","","608.787.4636","512-524-3190 PartOrd","","TX","igor.alvarado@trane.com","75284-5053","0.0000","52.1700","0.0000",""
"43740","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39344","","1.0000","","2026-09-17 00:00:00","","2026-09-15 00:00:00","2026-09-17 00:00:00","2026-09-15 00:00:00","0","","","","","","","","","","","95466","PO BOX 88177","","MILWAUKEE","MARCONE","","","","MARCONE APPLIANCE PARTS CO","","","","(800) 482-6022","","","WI","http://www.marcone.com/","53288-8177","304.2700","309.6500","304.2700",""
"43741","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39345","","1.0000","","","","2026-09-15 00:00:00","","2026-09-15 00:00:00","0","","","","","","","","","","","86577305","GE/RCA CONSUMER SERVICE","PO BOX 733572","DALLAS","GE PARTS","","","","GENERAL ELECTRIC COMPANY","graham.ramsey@geappliances.com","(866) 765-3592","","(888) 440-3405","1.866.557.7586","","TX","","75373-3572","0.0000","45.9100","0.0000",""
"43742","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","AMW","","","","","","","","","","","","2026-09-18 00:00:00","True","Andrew Walsh","39346","","1.0000","","2026-09-18 00:00:00","","2026-09-15 00:00:00","2026-09-18 00:00:00","2026-09-15 00:00:00","0","","","","","","","","","","","81 z6j71","","","LOUISVILLE","GEC","","","","GE APPLIANCES","","(800) 723-1585","","(800) 967-2334","","","KY","","","7517.0000","12376.0000","7517.0000",""
"43743","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","AMW","","","","","","","","","","","","2026-09-17 00:00:00","True","Andrew Walsh","39347","","1.0000","","2026-09-18 00:00:00","2026-09-18 00:00:00","2026-09-15 00:00:00","2026-09-17 00:00:00","2026-09-15 00:00:00","0","","","","","","","","","","","0580","PO BOX 978591","","DALLAS","WESTYE","","","","SUBZERO WOLF GROUP","","","","(800) 441-9260","","","TX","","75397-8591","1611.0000","1611.0000","1611.0000",""
"43744","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39348","","1.0000","","","","2026-09-15 00:00:00","","2026-09-15 00:00:00","0","","","","","","","","","","","X5128940907","9 INDEPENDENCE WAY","","PRINCETON","MIELE PART","","","","MIELE INC.","","(609) 419-4298","","(800) 843-7231","","","NJ","","08540","0.0000","1758.0000","0.0000",""
"43745","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","AMW","","","","","","","","","","","","2026-09-17 00:00:00","True","Andrew Walsh","39349","","1.0000","","2026-09-18 00:00:00","2026-09-18 00:00:00","2026-09-15 00:00:00","2026-09-17 00:00:00","2026-09-15 00:00:00","0","","","","","","","","","","","0580","PO BOX 978591","","DALLAS","WESTYE","","","","SUBZERO WOLF GROUP","","","","(800) 441-9260","","","TX","","75397-8591","11298.0000","11298.0000","11298.0000",""
"43746","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","AMW","","","","","","","","","","","","2026-09-17 00:00:00","True","Andrew Walsh","39350","","1.0000","","2026-09-18 00:00:00","2026-09-18 00:00:00","2026-09-15 00:00:00","2026-09-17 00:00:00","2026-09-15 00:00:00","0","","","","","","","","","","","0580","PO BOX 978591","","DALLAS","WESTYE","","","","SUBZERO WOLF GROUP","","","","(800) 441-9260","","","TX","","75397-8591","6109.0000","6109.0000","6109.0000",""
"43747","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","AMW","","","","","","","","","","","","2026-10-01 00:00:00","True","Andrew Walsh","39351","","1.0000","","","","2026-09-15 00:00:00","","2026-09-15 00:00:00","0","","","","","","","","","","","0580","PO BOX 978591","","DALLAS","WESTYE","","","","SUBZERO WOLF GROUP","","","","(800) 441-9260","","","TX","","75397-8591","0.0000","20732.0000","0.0000",""
"43748","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","AMW","","","","","","","","","","","","2026-10-01 00:00:00","True","Andrew Walsh","39352","","1.0000","","","","2026-09-15 00:00:00","","2026-09-15 00:00:00","0","","","","","","","","","","","0580","PO BOX 978591","","DALLAS","WESTYE","","","","SUBZERO WOLF GROUP","","","","(800) 441-9260","","","TX","","75397-8591","0.0000","17512.0000","0.0000",""
"43749","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","AMW","","","","","","","","","","","","2026-10-01 00:00:00","True","Andrew Walsh","39353","","1.0000","","","","2026-09-15 00:00:00","","2026-09-15 00:00:00","0","","","","","","","","","","","0580","PO BOX 978591","","DALLAS","WESTYE","","","","SUBZERO WOLF GROUP","","","","(800) 441-9260","","","TX","","75397-8591","0.0000","11010.0000","0.0000",""
"43750","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","AMW","","","","","","","","","","","","2026-10-01 00:00:00","True","Andrew Walsh","39354","","1.0000","","","","2026-09-15 00:00:00","","2026-09-15 00:00:00","0","","","","","","","","","","","0580","PO BOX 978591","","DALLAS","WESTYE","","","","SUBZERO WOLF GROUP","","","","(800) 441-9260","","","TX","","75397-8591","0.0000","27386.0100","0.0000",""
"43751","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","AMW","","","","","","","","","","","","2026-09-24 00:00:00","True","Andrew Walsh","39355","","1.0000","","","","2026-09-15 00:00:00","","2026-09-15 00:00:00","0","","","","","","","","","","","0580","PO BOX 978591","","DALLAS","WESTYE","","","","SUBZERO WOLF GROUP","","","","(800) 441-9260","","","TX","","75397-8591","0.0000","13131.0000","0.0000",""
"43752","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","AMW","","","","","","","","","","","","2026-09-24 00:00:00","True","Andrew Walsh","39356","","1.0000","","","","2026-09-15 00:00:00","","2026-09-15 00:00:00","0","","","","","","","","","","","0580","PO BOX 978591","","DALLAS","WESTYE","","","","SUBZERO WOLF GROUP","","","","(800) 441-9260","","","TX","","75397-8591","0.0000","1810.0100","0.0000",""
"43753","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39357","","1.0000","","2026-09-17 00:00:00","2026-09-17 00:00:00","2026-09-15 00:00:00","2026-09-17 00:00:00","2026-09-15 00:00:00","0","","","","","","","","","","","010051","PO BOX 566268","","DALLAS","APD","","","","RELIABLE PARTS","","(214) 634-7929","","(214) 631-4298","(800) 841-4060","","TX","www.apdepot.com","75356","56.9600","56.9600","56.9600",""
"43754","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39358","","1.0000","","","","2026-09-15 00:00:00","","2026-09-15 00:00:00","0","","","","","","","","","","","","P.O. Box 8387","","CAROL STREAM","ENCOMPASS","","","","ENCOMPASS","","","","","","","IL","","60197","0.0000","1955.8400","0.0000",""
"43755","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39359","","1.0000","","2026-09-16 00:00:00","2026-09-16 00:00:00","2026-09-15 00:00:00","2026-09-16 00:00:00","2026-09-15 00:00:00","0","","","","","","","","","","","055699","13100 W. 43RD DRIVE","","GOLDEN","AMERICAN","","AR- Brandy 303.633.5518","","GREAT PLAINS APPLIANCE PARTS","sbaca@americanappliance.biz","(303) 633-5503","","(800) 678-6788","(303) 633-5500","","CO","https://www.greatplainsapplianceparts.com","80403","484.7600","484.7600","484.7600",""
"43756","","Supplier","ALL","False","","","False","2026-09-15 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39360","","1.0000","","","","","","2026-09-15 00:00:00","0","","","","","","","","","","","","271 TEXAS AVE","","ROUND ROCK","DAWARD","","","","D.A. WARDEN","","(512) 459-1421","","(512) 459-9693","","","TX","","78664","0.0000","0.0000","0.0000",""
"43726","","Supplier","ALL","False","","","False","2026-09-14 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39330","","1.0000","","2026-09-16 00:00:00","2026-09-16 00:00:00","2026-09-14 00:00:00","2026-09-16 00:00:00","2026-09-14 00:00:00","0","","","","","","","","","","","055699","13100 W. 43RD DRIVE","","GOLDEN","AMERICAN","","AR- Brandy 303.633.5518","","GREAT PLAINS APPLIANCE PARTS","sbaca@americanappliance.biz","(303) 633-5503","","(800) 678-6788","(303) 633-5500","","CO","https://www.greatplainsapplianceparts.com","80403","100.4400","100.4400","100.4400",""
"43727","","Supplier","ALL","False","","","False","2026-09-14 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39331","","1.0000","","2026-09-16 00:00:00","","2026-09-14 00:00:00","2026-09-16 00:00:00","2026-09-14 00:00:00","0","","","","","","","","","","","95466","PO BOX 88177","","MILWAUKEE","MARCONE","","","","MARCONE APPLIANCE PARTS CO","","","","(800) 482-6022","","","WI","http://www.marcone.com/","53288-8177","571.5300","739.8700","571.5300",""
"43728","","Supplier","ALL","False","","","False","2026-09-14 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39332","","1.0000","","2026-09-16 00:00:00","2026-09-16 00:00:00","2026-09-14 00:00:00","2026-09-16 00:00:00","2026-09-14 00:00:00","0","","","","","","","","","","","010051","PO BOX 566268","","DALLAS","APD","","","","RELIABLE PARTS","","(214) 634-7929","","(214) 631-4298","(800) 841-4060","","TX","www.apdepot.com","75356","651.8900","651.8900","651.8900",""
